=== Class Histogram (HotSpot DiagnosticCommand) ===
Platform  : JDK=17 vendor=Oracle Corporation vm=Java HotSpot(TM) 64-Bit Server VM pid=52983 graalNative=false j9=false
Process   : 52983@kr15py
Time      : Wed Sep 16 11:29:41 AEST 2026

 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:         29536        1612200  [B (java.base@17.0.15)
   2:         28714         689136  java.lang.String (java.base@17.0.15)
   3:          3888         467520  java.lang.Class (java.base@17.0.15)
   4:         13225         423200  java.util.HashMap$Node (java.base@17.0.15)
   5:          4013         293768  [Ljava.lang.Object; (java.base@17.0.15)
   6:          3339         268568  [J (java.base@17.0.15)
   7:          6994         223808  java.util.concurrent.ConcurrentHashMap$Node (java.base@17.0.15)
   8:           376         118976  [Ljava.util.HashMap$Node; (java.base@17.0.15)
   9:          3319         106208  jdk.internal.jimage.ImageReader$Resource (java.base@17.0.15)
  10:          3319          79656  jdk.internal.jimage.ImageLocation (java.base@17.0.15)
  11:          1985          79400  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@17.0.15)
  12:           231          75808  [C (java.base@17.0.15)
  13:            95          62096  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@17.0.15)
  14:          1239          62024  [I (java.base@17.0.15)
  15:           647          56936  java.lang.reflect.Method (java.base@17.0.15)
  16:          1423          56920  java.lang.ref.SoftReference (java.base@17.0.15)
  17:          1234          49360  java.util.LinkedHashMap$Entry (java.base@17.0.15)
  18:           875          42000  java.lang.invoke.MemberName (java.base@17.0.15)
  19:          1299          41568  jdk.internal.jimage.ImageReader$Directory (java.base@17.0.15)
  20:          1198          38336  jdk.internal.jimage.ImageReader$LinkNode (java.base@17.0.15)
  21:           920          37112  [Ljava.lang.String; (java.base@17.0.15)
  22:          1408          33792  java.util.ArrayList (java.base@17.0.15)
  23:           813          32520  java.lang.invoke.MethodType (java.base@17.0.15)
  24:          1011          32352  sun.util.locale.BaseLocale (java.base@17.0.15)
  25:           992          31744  sun.util.locale.BaseLocale$Key (java.base@17.0.15)
  26:          1183          29104  [Ljava.lang.Class; (java.base@17.0.15)
  27:          1785          28560  java.lang.Object (java.base@17.0.15)
  28:           816          26112  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry (java.base@17.0.15)
  29:           254          19304  [Ljava.lang.ref.SoftReference; (java.base@17.0.15)
  30:           379          18192  java.util.HashMap (java.base@17.0.15)
  31:           670          16080  java.lang.invoke.ResolvedMethodName (java.base@17.0.15)
  32:           482          15424  java.lang.invoke.LambdaForm$Name (java.base@17.0.15)
  33:           341          10912  jdk.internal.math.FDBigInteger (java.base@17.0.15)
  34:           283           9056  java.lang.invoke.DirectMethodHandle (java.base@17.0.15)
  35:           363           8712  java.lang.module.ModuleDescriptor$Exports (java.base@17.0.15)
  36:           117           8424  java.lang.reflect.Field (java.base@17.0.15)
  37:             2           8224  [Ljava.nio.ByteBuffer; (java.base@17.0.15)
  38:           123           7872  java.lang.Class$ReflectionData (java.base@17.0.15)
  39:            36           7744  [Ljava.lang.invoke.MethodHandle; (java.base@17.0.15)
